stop_id,stop_name,stop_latitude,stop_longitude
58584,du Pacifique / de l'Église,45.4068050,-73.9533860
57636,Hymus / Paprican,45.4583929,-73.8254998
58376,Brunswick / Jonquille,45.4562290,-73.8579950
58311,Gouin / Lauzon,45.4521668,-73.9360525
58468,Beaconsfield / Kenwood,45.4299373,-73.8492024
58098,Saint-Charles / Claude,45.4678729,-73.8750901
57702,Delmar / Hymus,45.4691391,-73.8045299
58440,Beaconsfield / Harrow,45.4235550,-73.8671840
57778,École John-Rennie (Douglas-Shand / Saint-Jean),45.4496260,-73.8168972
58531,Morgan / Clark-Graham,45.4220508,-73.9172288
61257,de Pierrefonds / du Palomino,45.4553097,-73.9038129
58254,Gouin / No 18923,45.4606260,-73.9026880
60705,Transcanadienne / No 5500,45.4698969,-73.8130906
57653,Saint-Jean / Sedgefield,45.4552940,-73.8206748
58395,Transcanadienne / Mountain View,45.4501276,-73.8628352
61578,Fairview / Brunswick,45.4626687,-73.8373878
58478,Beaconsfield / Hyde Park,45.4293270,-73.8389250
57711,Braebrook / Broadview,45.4618200,-73.8015430
58449,Sherbrooke / Hollis,45.4369080,-73.8630410
57791,des Sources / No 1733,45.4620845,-73.7831892
58548,Clark-Graham / Firing,45.4243083,-73.9095357
58340,Sainte-Marie / Saint-Tropez,45.4409200,-73.8794831
57666,Hastings / Newton,45.4606180,-73.8161240
60582,Gouin / du Palomino,45.4604161,-73.9055191
57741,Gare Valois (Donegani / de la Baie-de-Valois),45.4497593,-73.7917988
58491,Gare Beaconsfield,45.4351657,-73.8477860
57724,Bord-du-Lac / Water's Edge,45.4466380,-73.7987200
57802,Bord-du-Lac / Sainte-Anne,45.4290540,-73.8256030
58558,Sainte-Anne / Saint-Charles,45.4071857,-73.9557224
57617,Rothbury / Stillview,45.4490650,-73.8306940
58357,Hymus / de la Caravelle,45.4500038,-73.8501665
57675,Saint-Louis / Maywood,45.4520890,-73.8134610
58393,Sainte-Marie / Transcanadienne,45.4406904,-73.8820634
58592,Hôpital Sainte-Anne (Anciens-Combattants/No 305),45.4125295,-73.9497510
57755,des Sources / Saint-Louis,45.4647801,-73.7858020
58506,Lakeshore / Sunny Acres,45.4101926,-73.9114630
58233,du Château-Pierrefonds / de Pierrefonds,45.4597049,-73.8930037
57816,Donegani / Gateway,45.4470591,-73.8049857
58567,Sainte-Anne / Maple,45.4027423,-73.9441980
57630,École Félix-Leclerc (Inglewood / Ashington),45.4488010,-73.8276020
58370,De Salaberry / Brunswick,45.4585727,-73.8499166
58296,du Château-Pierrefonds / Oka,45.4630746,-73.8954057
58454,Beaconsfield / Gables,45.4269700,-73.8570310
57688,Hastings / Braebrook,45.4574050,-73.8099890
58425,Beaconsfield / Madsen,45.4187840,-73.8860470
57399,Bord-du-Lac / Neptune,45.4408050,-73.7714770
57764,Bord-du-Lac / Lakebreeze,45.4468498,-73.7823247
58522,Morgan / Surrey,45.4174495,-73.9166977
60461,Transcanadienne / No 7600,45.4588973,-73.8348140
58583,Sainte-Anne / Perrault,45.4026631,-73.9461909
58379,Saint-Charles / Sainte-Marie,45.4504257,-73.8565751
58472,Saint-Charles / Beaconsfield,45.4312480,-73.8460913
58101,Saint-Charles / Duval,45.4655244,-73.8729598
57705,Delmar / Hearne,45.4665970,-73.8029920
58443,Sherbrooke / Brighton,45.4366120,-73.8666570
58534,Clark-Graham / No 20425,45.4191640,-73.9242860
58258,Gouin / De La Morandière,45.4604380,-73.9097900
57652,Saint-Jean / Cardiff,45.4551474,-73.8202032
58394,Transcanadienne / Daniel,45.4469118,-73.8693853
58485,Gare Beaconsfield,45.4347335,-73.8487073
57718,Braebrook / Delmar,45.4627270,-73.7995250
57794,Terminus Fairview,45.4656863,-73.8315910
58547,Clark-Graham / Weco,45.4226793,-73.9152103
58343,Brunswick / Henri-Daoust,45.4528256,-73.8688495
61262,Saint-Jean / Autoroute 20,45.4413526,-73.8148272
60402,Cardinal / Strathmore,45.4500975,-73.7769161
58412,Houde / Transcanadienne,45.4450947,-73.8754250
61256,de Pierrefonds / Winnie-Wakefield,45.4591514,-73.8941201
57379,Cardinal / Strathmore,45.4500307,-73.7773253
57740,Gare Valois (Donegani / de la Baie-de-Valois),45.4500494,-73.7915532
58495,Montrose / Northcliff,45.4404480,-73.8747120
57727,Broadview / No 105,45.4562550,-73.7978080
57810,Transcanadienne / No 5701,45.4689488,-73.8167970
58356,Hymus / No 16889,45.4500233,-73.8530893
57682,Maywood / Drake,45.4469338,-73.8119573
58419,de l'Anse-à-l'Orme / Timberlea-Trail,45.4376474,-73.9008444
58595,Sainte-Marie / Industriel,45.4277037,-73.9208115
57393,Neptune / Cardinal,45.4501359,-73.7744932
57758,Belmont / Vincennes,45.4570154,-73.7836516
58505,Lakeshore / Sunny Acres,45.4102668,-73.9114810
58232,de Pierrefonds / du Château-Pierrefonds,45.4597939,-73.8923600
57819,Fairview / Réno Dépot,45.4621935,-73.8366354
58576,Sainte-Anne / Lalonde,45.4032549,-73.9501899
57633,Douglas-Shand / Heather,45.4458900,-73.8253590
58373,Brunswick / Argyle,45.4570821,-73.8534970
58457,Sherbrooke / Bermuda,45.4379790,-73.8563470
58095,de Pierrefonds / Saint-Charles,45.4685494,-73.8757884
58428,Beaconsfield / Saint-Louis,45.4199790,-73.8792000
57402,Parkfield / Avila-Legault,45.4529060,-73.7719120
57771,Cartier / de Val-Soleil,45.4371839,-73.8265804
58527,Lee / Transcanadienne,45.4330698,-73.9038306
57498,Carson / Neptune,45.4443660,-73.7726410
60415,Terminus Fairview / Brunswick,45.4659824,-73.8318640
57646,Saint-Jean / Hymus,45.4590735,-73.8218577
58387,Sainte-Marie / Transcanadienne,45.4391237,-73.8896656
58313,Gouin / Rose-Marie,45.4553408,-73.9348050
58471,Saint-Charles / Prairie,45.4318220,-73.8463426
58108,Saint-Charles / Oakwood,45.4621929,-73.8683872
57704,Lakeview / Hillcrest,45.4413970,-73.8038940
61396,Sainte-Anne / Sainte-Marie,45.4027447,-73.9474719
58442,Sherbrooke / Brighton,45.4367320,-73.8667490
57780,Stillview / Transcanadienne,45.4566690,-73.8396873
58541,Clark-Graham / Styrochem,45.4253226,-73.9053064
58337,Sainte-Marie / Meaney,45.4376048,-73.8948199
57655,Transcanadienne / Ellingham,45.4677043,-73.8192572
58397,Houde / Transcanadienne,45.4455129,-73.8756296
58488,Gare Beaurepaire (sortie 45 / Woodland),45.4272249,-73.8852742
57721,Donegani / Windcrest,45.4487610,-73.7986973
57793,Transcanadienne / Hôtel Journeys's End,45.4656741,-73.8214339
58550,Lee / Clark-Graham,45.4272200,-73.9021970
57608,Labrosse / Grandview,45.4683630,-73.8336820
58350,Saint-Charles / Sainte-Marie,45.4511058,-73.8577461
57837,De Salaberry / Sommerset,45.4662252,-73.8489569
57668,Saint-Jean / Springdale,45.4453622,-73.8165292
58411,Houde / Elkas,45.4468636,-73.8769870
57378,Bord-du-Lac / de l'Église,45.4463998,-73.7805983
57743,Bord-du-Lac / de la Baie-de-Valois,45.4483692,-73.7908949
58499,Lakeshore / Churchill,45.4053329,-73.9237911
57734,Bord-du-Lac / Broadview,45.4480036,-73.7946147
58226,Antoine-Faucon / Grilli,45.4557540,-73.8757885
57813,Brunswick / Fairview,45.4627156,-73.8383332
58359,Transcanadienne / No 16751,45.4557302,-73.8477318
57685,Lakeview / Longmore,45.4387209,-73.8114636
58422,Beaconsfield / Lakeview,45.4180330,-73.8893690
57396,Herron / Neptune,45.4488900,-73.7745159
57757,Bord-du-Lac / No 24,45.4479562,-73.7860760
58508,Lakeshore / Normandy,45.4119380,-73.9061650
57827,Brunswick / Auto Plaza,45.4661550,-73.8321930
58580,Collège John Abbott,45.4069875,-73.9406942
57632,Bord-du-Lac / Saint-Jean-Baptiste,45.4286550,-73.8273930
58372,Brunswick / Argyle,45.4574325,-73.8532568
58464,Sherbrooke / Cadillac,45.4391556,-73.8505829
58094,Saint-Charles / de Pierrefonds,45.4688862,-73.8757917
57698,Hornell / Saint-Louis,45.4556780,-73.8066640
58436,Beaconsfield / Neveu,45.4222430,-73.8725910
57774,École Pointe-Claire,45.4505796,-73.8150078
58525,Morgan / Victoria,45.4148483,-73.9164042
57497,Carson / Neptune,45.4443250,-73.7723590
58250,des Cageux / Gouin,45.4659565,-73.8877729
60534,Maywood / Donegani,45.4451729,-73.8114620
57649,Hymus / Saint-Jean,45.4590663,-73.8236171
58390,Saint-Charles / No 2755,45.4458390,-73.8520584
58474,Saint-Charles / Beaconsfield,45.4315282,-73.8459543
58111,Saint-Charles / Antoine-Faucon,45.4604589,-73.8665536
57707,Lakeview / Lakeshore,45.4412861,-73.8036142
58445,Sherbrooke / Westcroft,45.4365642,-73.8651162
57787,Saint-Jean / Autoroute 20 (sud),45.4411645,-73.8145202
58544,Clark-Graham / Pirie,45.4170730,-73.9285074
58336,Sainte-Marie / Meaney,45.4374150,-73.8950822
57662,Hastings / Hymus,45.4613140,-73.8170970
58405,Brunswick / Berne,45.4509176,-73.8728450
57737,Belmont / de la Baie-de-Valois,45.4540420,-73.7925230
58487,Montrose / Sainte-Marie,45.4418208,-73.8750401
57720,Broadview / Saint-Louis,45.4593320,-73.7992390
57797,Terminus Fairview,45.4656888,-73.8314083
58554,Maple / Autoroute 20,45.4081672,-73.9454559
57613,Stillview / Frobisher,45.4501130,-73.8328310
58353,Transcanadienne / No 16821,45.4546064,-73.8530861
57671,École John-Rennie (Douglas-Shand / St-Jean),45.4496365,-73.8165506
58414,Brunswick / Valérie,45.4554367,-73.8633953
61601,Transcanadienne / No 18101,45.4464740,-73.8721250
58587,Zoo Écomuseum,45.4238015,-73.9325499
57382,Bord-du-Lac / Lake,45.4447316,-73.7773437
57751,Donegani / Lucerne,45.4502654,-73.7869251
58229,du Château-Pierrefonds / Meloche,45.4564783,-73.8891919
58563,Sainte-Anne / Garden City,45.4103651,-73.9525991
57626,Inglewood / Rothbury,45.4498790,-73.8285480
58366,Hymus / André-Brunet,45.4510588,-73.8399251
58292,Gouin / No 19688,45.4612727,-73.9155764
58088,Gouin / Coursol,45.4653819,-73.8905837
57684,Lakeview / Longmore,45.4389678,-73.8111787
57603,Hymus / Stillview,45.4532146,-73.8359972
58421,Beaconsfield / Brentwood,45.4168210,-73.8932830
57395,Neptune / Cardinal,45.4503190,-73.7744230
57760,des Sources / Belmont,45.4572023,-73.7824965
58516,Lakeshore / No 20846,45.4051090,-73.9335687
58242,des Cageux / de Pierrefonds,45.4628941,-73.8846827
57830,Brunswick / Hermitage,45.4613713,-73.8408503
58578,Pine / Sainte-Marie,45.4225426,-73.9358282
57635,Cartier / No 117,45.4346525,-73.8255410
58375,Brunswick / Jonquille,45.4564687,-73.8554743
58305,Gouin / No 19688,45.4613667,-73.9156007
58466,Saint-Charles / Sherbrooke,45.4395313,-73.8496175
58097,Saint-Charles / de Pierrefonds,45.4692649,-73.8757421
57701,Lakeview / Fifth,45.4409777,-73.8057938
58439,Sherbrooke / Fleet,45.4368360,-73.8696680
57773,Stillview / Canvin,45.4508450,-73.8339290
58530,Clark-Graham / Morgan,45.4220942,-73.9168615
61321,de Pierrefonds / Winnie-Wakefield,45.4588489,-73.8942750
58253,Gouin / No 18465,45.4625720,-73.8983061
57648,Hymus / Saint-Jean,45.4589468,-73.8234899
58389,Transcanadienne / Saint-Charles,45.4537770,-73.8598250
58481,Gare Beaconsfield (St-Charles / Amherst),45.4358855,-73.8473852
57714,Bord-du-Lac / Lakeside,45.4438495,-73.8013367
58452,Sherbrooke / Allancroft,45.4377378,-73.8583756
57790,Gare Pointe-Claire,45.4467135,-73.8023726
58543,Cruickshank / Lee,45.4290937,-73.9042781
58339,Sainte-Marie / Saint-Tropez,45.4412124,-73.8786458
57665,Saint-Jean / Drake,45.4458261,-73.8163393
58408,Brunswick / Rougemont,45.4488248,-73.8775260
57736,Belmont / de la Baie-de-Valois,45.4541240,-73.7926800
58490,Beaconsfield / Hyde Park,45.4293973,-73.8388500
57723,Bord-du-Lac / Water's Edge,45.4467021,-73.7983632
57805,Hastings / Dieppe,45.4570120,-73.8097460
58557,Sainte-Anne / Saint-Charles,45.4070458,-73.9557981
57610,Stillview / Canvin,45.4509730,-73.8342070
58352,Saint-Charles / Hymus,45.4495092,-73.8561063
58286,Usine de filtration de Pierrefonds,45.4650677,-73.8917481
57678,Maywood / Viburnum,45.4488558,-73.8126982
61234,Sainte-Marie / de l'Anse-à-l'Orme,45.4362683,-73.8984918
57389,Parkfield / Neptune,45.4524300,-73.7750510
57754,Donegani / de la Baie-de-Valois,45.4499550,-73.7921918
58501,Lakeshore / No 20578,45.4054044,-73.9217038
58228,du Château-Pierrefonds / Antoine-Faucon,45.4526290,-73.8864800
57815,Terminus Fairview,45.4654271,-73.8313294
58571,Lakeshore / No 20846,45.4050386,-73.9336583
57629,École Félix-Leclerc (Inglewood / Ashington),45.4486610,-73.8273470
58369,Brunswick / de Salaberry,45.4585908,-73.8495177
58453,Sherbrooke / Allancroft,45.4376166,-73.8586093
57687,Hymus / Gun,45.4653634,-73.8097967
57602,Stillview / Hymus,45.4529064,-73.8359582
